User,Location,Review Date,Rating,Review Highlight,Review,Date of Experience
Sarah,GB,"Nov 26, 2024",5,I had a great experience with Lebara…,I was connected today to Aman on chat and he was very helpful and knew what he was doing straightaway and didn't take a long time to sort,"November 26, 2024"
Brendan,GB,"Nov 26, 2024",1,Fake reviews .absolutely shocking…,Happy Aditya solved my issue instantly,"November 17, 2024"
JJ,GB,"Nov 26, 2024",1,Promotion never materialised,agent Fariyaz doing great job to help me fix login issue,"November 26, 2024"
bukola famoriyo,GB,"Nov 26, 2024",5,It was so amazing,Nitin is a great staff with so much knowledge about the product and respectful.,"November 25, 2024"
nabil elfettahi,GB,"Nov 26, 2024",5,refund,Good service provided by Vishnu sir !!Thanks team Lebara!!,"November 25, 2024"
Tinei,GB,"Nov 26, 2024",5,Good service and customer care,Excellent Chat service.Used Lebara Chat fir a couple of queries on my account.Think they answered everything.Initial impression very good.,"November 26, 2024"
Marysia,GB,"Nov 26, 2024",5,Super helpful!,Fariyaz was patient and solved the issue of my overlapping SIM deals very quickly 😀,"November 26, 2024"
erik tuleja,GB,"Nov 26, 2024",5,Very good service from Suraj,"It was a delightful experience Asa first time caller to Lebara, especially Aadesh who helped me throughout sorting a payment issue for me. He was very polite and helpful and also fast with the working and explained things to me really well. Thank you Lebara and Aadesh for their wonderful service and support.","November 26, 2024"
Mokhinur Abdulakhatova,GB,"Nov 26, 2024",5,Selvaraj did great job and did…,Gitanjali.w. very helpfull. Set up good phone deal for me in 2 minutes.,"November 26, 2024"
John,GB,"Nov 26, 2024",5,I was asking for advice about sharing…,Rabaul understood the problem and advised accordingly very quickly,"November 26, 2024"
Preet Singh,GB,"Nov 26, 2024",5,Aadesh from Lebara rocks !!!,Fariyaz was so helpful as I have lost my sim card giving my old phone away,"November 26, 2024"
dg,GB,"Nov 26, 2024",5,Fariyaz is good,"The best customer service from Vijay Kumar, I really hope you get the Fables book as you deserve it.Thank you ,Riley","November 26, 2024"
CF,IL,"Nov 26, 2024",5,very helpful customer service,"Quick and helpful service from Salomi, very friendly and willing to help.","November 26, 2024"
Zahra Safdari Shadloo,GB,"Nov 26, 2024",5,Sim activation,Siddhant Vardha helped me in resolving my issue in best way and showed best professionalism in handling my issue. I am greatful to him for his support and help.,"November 26, 2024"
Aman,GB,"Nov 26, 2024",3,It is important to get the right ppl to help in online,Thanks to Raunak for sorting my issue promptly!,"November 26, 2024"
Mr James Frazer,GB,"Nov 26, 2024",5,Rutuja was a great help,Selvaraj was great resolved my issue immediately in 2 minutes.,"November 26, 2024"
Pui Kwan Chow,GB,"Nov 26, 2024",5,Geetanjali was very helpful,"Easy and fast to contact with Customer Service, person named Aman has helped me with an issue that happened with my plan and was solved pretty quickly.","November 26, 2024"
M Owen,IE,"Nov 26, 2024",5,Mukesh helped me to solve my issue in a…,"Lebara is a great network with much lower prices than the mainstream providers. I recently had an issue and the customer service was great too, Selvaraj dealt with my issue really quickly!","November 26, 2024"
Zhennan Wu,GB,"Nov 26, 2024",5,Excellent Customer Service by Fariyaz,"Ranuak was very helpful, thanks!","November 26, 2024"
Vishnu sathyan Narayanan,GB,"Nov 26, 2024",5,I had an amazing experience with the…,Selvaraj dealt with all my queries efficiently and politely. Great service and much appreciated.Thanks for your help.,"November 26, 2024"
Peter,GB,"Nov 26, 2024",5,Neha very helpful and understood my…,Great customer service by Prakriti she is helpful and able to resolve your query professionally.,"November 26, 2024"
customer,GB,"Nov 26, 2024",5,Nitin was an extremely helpful and…,"The way Sanket handled the call was excellent, he understood my situation and did best what he could from his end to keep me with lebara, who ever is reading this, people like Sanket should be appreciated.Thank you Sanket & team.Good luck.","November 26, 2024"
ilcc,GB,"Nov 26, 2024",5,Raj was clear,Salomi help me sort out my issue in minutes.Professional and respectful customer service.,"November 26, 2024"
Tracy,GB,"Nov 26, 2024",5,Mohamed was very helpful.,"Faraz is a nice and patient guy, thank you for helping me.","November 26, 2024"
Huong Nguyen,GB,"Nov 26, 2024",5,Helped me with discount code,Karan sign resolve my issue very well,"November 26, 2024"
lin,GB,"Nov 26, 2024",5,Great service provide by Selvaraj,"Yes , my complaint was solved promptly by Selvaraj","November 26, 2024"
DM P,GB,"Nov 26, 2024",5,Excellent,"Had some trouble receiving a verificaiton code to set up my new sim with my old number, was able to immediately speak to someone in customer service and Faraz was so helpful and resolved the issue in minutes, with great communication on how long everything would take.","November 26, 2024"
Shreya Dusa,GB,"Nov 26, 2024",5,Shruti was the customer service agent,Selvaraj was very helpful and was able to resolve my query straight away!,"November 26, 2024"
Anna,GB,"Nov 26, 2024",5,Selvaraj was so helpful,The staff member was very polite and helpful. He explained everything thoroughly. He is a credit to your organisation.,"November 26, 2024"
Wenhui,GB,"Nov 26, 2024",5,The customer service was very good！,Salomi was very quick and efficient with helping me. There was no trying to convince me to stay (which you normally get with phone company’s) instead they made it very quick and easy. Much appreciated.,"November 26, 2024"
customer,GB,"Nov 26, 2024",5,Fast service and efficient,Jitendriya D was extremely helpful with my SIM issues,"November 26, 2024"
Lisin Gopalan,GB,"Nov 26, 2024",5,We received a great support from Abdul…,"Lebara has always stood out for me and the services are top notch. I contacted customer service and I was amazed on how my issue was resolved instantly and professionally by Sanju. He was amazing, responded swiftly and got the issue sorted.","November 26, 2024"
george,GB,"Nov 26, 2024",5,renewing contract,Because SAAD solved my problem,"November 26, 2024"
Idowu Bernice,GB,"Nov 26, 2024",5,Happy Aditya solved my issue instantly,Lebara and its customers service is the best in UK I was over charged by repeating payment twice and came to know after 18 days in few seconds the matter was resolved and all new services Lebara is carrying out explained by the smart CS officer No phone company offers 100 minutes  free to India It is Lebara only i am with them for over 5 years and they also  gave me free data on completion of 5 years,"November 26, 2024"
max lv,GB,"Nov 26, 2024",5,agent Fariyaz doing great job to help…,"my payment had failed to go through last night, which meant i would not be able to check on my 10 year old today via his phone , Selvaraj was lovely and got it sorted for me promptly","November 26, 2024"
育辰 刘,CN,"Nov 26, 2024",5,Selvaraj do a good job!,Prompt resolution to my concern. Prateek was attentive and knowledgeable. Pleasant experience.,"November 26, 2024"
Olu,GB,"Nov 26, 2024",5,Nitin is a great staff with so much…,Hi. Prateek helped to solve the issue immediately. Thank you,"November 26, 2024"
Riya Nariya,GB,"Nov 26, 2024",5,Good service provided by Vishnu sir !!,I am glad that advisor Prateek helped me get out of SIM card no service. Very helpful!,"November 26, 2024"
Big M,GB,"Nov 26, 2024",5,Excellent Chat service.,Imran sorted out my issue immediately and with no fuss friendly and very efficient,"November 26, 2024"
Mrs Try,GB,"Nov 26, 2024",5,Patient and efficient,"I encountered a technical glitch with my Lebara mobile app which made it impossible to sign in. I was initially very frustrated as I had run out of data and needed to buy some additional, which isn't possible without attaching it to the account.I contacted support and was connected to the absolutely wonderful Suraj J. He quickly reassured me and got to solving my problem right away. Throughout the interaction he was friendly and continued to provide updates as to not leave me in the dark. At the end of it, he was able to forward my problem to technical support, which was a good enough resolution on it's own, however had also noticed my low data balance and decided to, as a kind gesture, provide me with 5GB extra at no cost. I had not even mentioned this was the reason I was trying to sign in, so the fact that he took the time to take this into consideration truly shows how much he went above and beyond.An initially frustrated customer has been turned into a happy one. Suraj J is truly a great asset to Lebara.","November 26, 2024"
Harshita Virak,GB,"Nov 26, 2024",5,Brilliant first time experience,Couldn’t have been more helpful. I  had a problem with 5G and Prateek soon got me sorted,"November 26, 2024"
blue ghost,GB,"Nov 26, 2024",5,Gitanjali.w,Prateek was excellent at answering my concerns.  Lebara has always been value for money,"November 26, 2024"
3536689,GB,"Nov 26, 2024",5,Antarctica experience,"Prateek gave me an answer to my query  immediately, I tested it and it worked while we were still on chat.An excellent and quick result. 5*","November 26, 2024"
Charles Clough,GB,"Nov 26, 2024",5,Fariyaz is so helpful,Great service Prateek was very helpful and sorted my problem out quickly and efficiently,"November 26, 2024"
Klevia,GB,"Nov 26, 2024",5,The best customer service from Vijay…,Asked a question of the team & got a prompt answer & resolution to the problem.,"November 26, 2024"
Neha,GB,"Nov 26, 2024",5,Quick and helpful service,Prateek!!! Best staff of Lebara!!! Solved a big problem for me!!! Always be patient and friendly to me!!! I’m so grateful!!! Prateek is the best!!,"November 26, 2024"
customer,GB,"Nov 26, 2024",5,Siddhant Vardha helped me in resolving…,Nitin was extremely helpful and supportive and explained everything carefully. Fantastic customer service from Nitin,"November 26, 2024"
Kacie,GB,"Nov 26, 2024",5,Arnold was super helpful!,"Customer service is great, always ready to help and solve the issue. Sujit was great at understanding my problem and resolved it right away, thank you so much for such great service","November 26, 2024"
Josh,GB,"Nov 26, 2024",5,Helpful Web Agent,Abhijeet.G thanks for your support  🙌 I enjoy communicating with you,"November 26, 2024"
z,GB,"Nov 26, 2024",5,Selvaraj was great,Being very clear and precise answers to my request,"November 26, 2024"
Sc1ent,GB,"Nov 26, 2024",4,Customer Service,Fixed my problem very quickly!  Excellent. Well done Sharvari,"November 26, 2024"
Steven Blundell,GB,"Nov 26, 2024",5,Great alternative operator with good prices,SharavariWas just spot on.Fabulous in her job. She was very quick to provide solution to me.Kudos to Lebara for such a staff.Keep up the good work.,"November 26, 2024"
Ross Bardwell,GB,"Nov 26, 2024",5,Ranuak was very helpful,"Sagar H was informative and helpful.  He sorted my query out so quickly and efficiently, even though I was out of the country trying to resolve my problem.  I was most grateful.","November 26, 2024"
Paul Mellor,GB,"Nov 26, 2024",5,Selvaraj dealt with all my queries…,Sharvari was very polite and resolved my issue quickly,"November 26, 2024"
Kool,GB,"Nov 26, 2024",5,Great customer service by Prakriti she…,"My experience today was really great , i was helped by Rutuja who proved great  knowledge and was very quick in solving my problem . Thank you Rutuja","November 26, 2024"
Zilch -_-,GB,"Nov 26, 2024",5,Cheers to Sanket!,"Polite and generous help, great service from Imran Khairdi. Deserves an appraisal.","November 26, 2024"
Romina,GB,"Nov 26, 2024",5,Salomi help me sort out my issue in…,Amazing support. Sagar was great.,"November 26, 2024"
Arpad Budai,HU,"Nov 26, 2024",5,Quick and helpful customer service,Sagar H was very professional in dealing with my payment query which has been resolved!Thanks Lebara!,"November 26, 2024"
图 图,GB,"Nov 26, 2024",5,Faraz is a nice and patient guy,Support is very fast and efficient.,"November 26, 2024"
Cutie Pie,GB,"Nov 26, 2024",5,Karan sign resolve my issue very well,Imran was very helpful with moving me over to my new plan. He was very friendly and explained the different options available.,"November 26, 2024"
Sheeba Almeida,GB,"Nov 26, 2024",5,Excellent,Karan B helped me sort out my data package easily!,"November 26, 2024"
Hannah Baker,GB,"Nov 26, 2024",5,Customer service is excellent,Sagar H was really helpful and sorted out all my queries.,"November 26, 2024"
Jason,GB,"Nov 26, 2024",5,Selvaraj was very helpful and was able…,Amar was really helpful and fully listener of problem. As my problem took time but he really solved it.,"November 26, 2024"
JH,GB,"Nov 26, 2024",5,Excellent customer care,Siddhant Vardha helped with my query and resolved it in a minute,"November 26, 2024"
Rosa Wildman,GB,"Nov 26, 2024",5,Salomi was very quick and efficient…,Pleasantly surprised by the good customer service. I reached the agent Prem Kumar and he fixed my problem very quickly and very professionally,"November 26, 2024"
Geoff,GB,"Nov 26, 2024",5,Jitendriya D was extremely helpful with…,Neha was very efficient and professional in the way she resolved my issue. Her English was very good and I was very pleased with the way she handled the situation.,"November 26, 2024"
Ajuluchukwu Nwafor,GB,"Nov 26, 2024",5,Data plan issue,"I forgot my password and was locked out. I spoke to a Lebara agent, Premkumar, a very polite and extremely patient and helpful young man. I am now logged back into Lebara. I am a 78 year old man and have been with different 'providers' over the years. I went over to Lebara about 2 years ago and it is the best and most economicalprovider I have been with and would highly recommend it to anyone.","November 26, 2024"
Adachi Kelechi,GB,"Nov 26, 2024",5,Because SAAD solved my problem,Spoke to rechal and was great help in sorting out my issues,"November 26, 2024"
Consumer,GB,"Nov 26, 2024",5,Lebara is the best Mobile service Provider in Uk,Thanks for your help Suaf sorted out my problem,"November 26, 2024"
Amanda Bourne,GB,"Nov 26, 2024",5,my payment had failed to go through…,"Santosh helped me with my SIM when I lost my phone , straightforward and very helpful simple","November 26, 2024"
Robert Hagon,GB,"Nov 26, 2024",5,Prompt resolution to my concern,I got it sorted within 5 minutes. Lebara Customer service never upsets me!,"November 25, 2024"
Prisha Srivastav,GB,"Nov 26, 2024",5,Hi prateek,Was great and helpful,"November 25, 2024"
Shuyi,CN,"Nov 26, 2024",5,Helpful advice,Thanks for your help,"November 25, 2024"
Consumer,GB,"Nov 25, 2024",5,Data Query- Imran sorted out my issue immediately…,"I was having trouble renewing my plan, so I start a Chat with an agent. Then Pratham Raheja solved my problem perfectly, who is a very patient person, very nice :)","November 22, 2024"
James,GB,"Nov 25, 2024",5,Very positive support experience with Suraj J,The fast response and the agent was polite,"November 25, 2024"
Consumer,GB,"Nov 25, 2024",5,5G Issue,Very helpful and understanding,"November 25, 2024"
TERENCE HARLL,GB,"Nov 25, 2024",5,Prateek was excellent at answering my…,"I was absolutely delighted to get help from Bilal.He was very polite, respectful, helpful,and communicated clearly and very professionally!I Failed to send email to my daughter In Law“Refer and Earn” but Bilal helped to sorted out 🤗","November 25, 2024"
Gareth Davies,GB,"Nov 25, 2024",5,Prateek,Shubhangi A was extremely professional and helpful and he helped resolve my issue within minutes,"November 25, 2024"
Gary Lambley,GB,"Nov 25, 2024",5,Great service…,Imran has given excellent support & guidance and resolved my issue.,"November 25, 2024"
Michael Wilkinson,GB,"Nov 25, 2024",5,Asked a question of the team & got a…,I love that the Internet is very good and fast,"November 25, 2024"
郑蕙玲,GB,"Nov 25, 2024",5,Prateek!! Best staff forever!!!,Very helpful and quickly sorted the issue out,"November 25, 2024"
Morgane Dack,US,"Nov 25, 2024",5,very helpful,"I was low in data..I asked help in customer service. In a minute I had a chat with (shubhagi A)and next minute my issue is cleared..Thanks for quick, and problem solving help.","November 25, 2024"
Ricardo Williams,GB,"Nov 25, 2024",5,Nitin was extremely helpful and…,"Imran K was available at 7pm on a Sunday evening to professionally and promptly solve my urgent problem. Lucky for me, this level of round the clock service was only possible with the power of international help desks and international customer support desks. Thank you again","November 25, 2024"
Fatema Attarwala,GB,"Nov 25, 2024",5,Customer service (Sujit) was great,"Yes, it is a very good company. Shivangi A helped me a lot and resolved my issue.","November 25, 2024"
Ivie Best,GB,"Nov 25, 2024",5,Abhijeet.G thanks for your support  🙌 I…,I was charged and twice and chat with Shubhangi A who made thinghs so easy. I like the way she handle my case and refund money in no time. It was easy way to handle things.Very pleased with the Lebara service.,"November 25, 2024"
Clifford Rawstrone,GB,"Nov 25, 2024",5,Being very clear and precise answers to…,"I've two queries, first I needed to update my plan the second i have to change my email. It was a good experience the person not only understand my problem but also helped me to resolve both issues.Nice customer care team.","November 25, 2024"
Alison,GB,"Nov 25, 2024",5,Fixed my problem very quickly,Good experience and totally solved my problems.,"November 25, 2024"
Varun George,IN,"Nov 25, 2024",5,Sharavari,Great guidance by the person imran,"November 25, 2024"
Michal Wesolowski,GB,"Nov 25, 2024",5,"Nice servis,thank you Partham.",Akshay was swift with response and solving my issue,"November 25, 2024"
Janet Greener,ZA,"Nov 25, 2024",5,Sagar H was informative and helpful,Thank you Jatin Reddy for your super help regarding my queries. You have been very helpful and answers my concerns with data relating to Lebera package on using my phone in India. :),"November 25, 2024"
Scott Lane,GB,"Nov 25, 2024",5,polite and efficient,The staff quickly sorted out some issues with the payment and refund by professional and understanding.,"November 25, 2024"
L.M.Sipos,GB,"Nov 25, 2024",5,Thank you Rutuja,customer service  was excellent by Sagar H,"November 25, 2024"
Mukund,GB,"Nov 25, 2024",5,Polite and generous help,Nagmukesh was very helpful and professional in solving my queries in a timely manner.I think guys like Nagmukesh keep customers with Lenara.Thanks mate.,"November 25, 2024"
Ketaki Acharee,GB,"Nov 25, 2024",5,Amazing support,"Quick, prompt resolution from Sagar H. Thank you.","November 25, 2024"
JOHN HARLOW,GB,"Nov 25, 2024",5,Sagar H was very professional in…,"Sarfaraz sorted out the problem very quickly, he was helpful and knowledgeable.","November 25, 2024"
Jeferson Ramos,GB,"Nov 25, 2024",5,It works everywhere anytime.,Very supportive and cooperative,"November 25, 2024"
Holly Kinsey,GB,"Nov 25, 2024",5,Great customer service for switching plans,Rajshree was very kind and patient with my request and helped me efficiently and speedily to resolve the issue.,"November 25, 2024"
Gali,HU,"Nov 25, 2024",5,Helpful!,Really appreciate all the help from Sanjeev U for my queries. He was super helpful and very patient. Thank you Sanjeev,"November 25, 2024"
NJ N,GB,"Nov 25, 2024",5,Sagar H was really helpful and sorted…,Asish is a nice and helpful guy. He helped me to find the plan I was looking for.,"November 25, 2024"
Stephen Feeney,GB,"Nov 25, 2024",5,Fast efficient correct and friendly,I would obviously prefer face to face help but the agent was patient and helpful.,"November 25, 2024"
jaswinder kaur,GB,"Nov 25, 2024",5,Amar was really helpful and fully understanding.,@ Jatin Reddy.Thankyou for your service.He answered each query with lot of patience.,"November 25, 2024"
Vaibhav Pandya,GB,"Nov 25, 2024",5,Siddhant Vardha helped with my query…,When contacted the online help to resolve an issue probably triggered by me Sagar promptly sorted the problem and issued me a refund,"November 25, 2024"
hb,GB,"Nov 25, 2024",5,Good customer service,He explained all deals clearly.,"November 25, 2024"
Peter Mucha,GB,"Nov 25, 2024",5,Nitin great helper,A1 service very polite and efficient,"November 25, 2024"
David Plant,GB,"Nov 25, 2024",5,Labara Professional Help From Neha,JATIN ReddyWas great I had a voucher I had bought and was not working and he told me to go back to the shop and he stayed on the line and spoke to the shop keeper and told them to replace my voucher. They was not easy but then then told me they can’t sell me any voucher. And JATIN called me back to see if I was ok and then I told him I was give a refund and told to buy my voucher somewhere else and JATIN monitored me untill I was able to top up,"November 25, 2024"
arthur belk,GB,"Nov 25, 2024",5,I was Locked out when I forgot my Password,I was running out of data and my subscription was due in 6 days. I wanted to resubscribe before the date but was offered some data free of charge to use pending my resubscription. That was cool customer experience from the customer rep by name Pushkar,"November 25, 2024"
Bhimji Patel,GB,"Nov 25, 2024",5,Kind and considerate,"I have had chat with sagar H , he is really helpful and a professional person.So 5 star for sagar","November 25, 2024"
Terry Hudson,GB,"Nov 25, 2024",5,Help,He made my experience well by acknowledging me about my sim card,"November 25, 2024"
Dulan F,GB,"Nov 25, 2024",5,Santosh helped me with my SIM when I…,I had a small setting problem after swapping my number over but spoke to Nagmukesh on Sunday morning it was solved within minutes.Excellent service.,"November 25, 2024"
Janta Lohana,GB,"Nov 25, 2024",5,You can convert top upp to Plan -if you made a mistake,"Had great, quick help from Akshay with regards to an incorrect charge. Will check my Paypal for the refund later. Thank you 😊","November 25, 2024"
Gabriela Hristache,GB,"Nov 25, 2024",5,It was very helpful,Thanks a lot,"November 25, 2024"
customer,GB,"Nov 25, 2024",5,Great customer service,"The agent that helped me, Salomi , was very polite and helpful. I wasn't rushed and my questions were answered straight away. They were very professional and kind.I would highly recommend Lebara","November 25, 2024"
Mansour,GB,"Nov 25, 2024",5,Thanks for your help,The man was very very nice and make a good service for me,"November 25, 2024"
Su Li,GB,"Nov 25, 2024",5,Nice experience,Fantastic cheap plans with EXCELLENT customer service!,"November 25, 2024"
Consumer,GB,"Nov 25, 2024",5,The fast response and the agent was…,"After a headache trying to set up mobile broadband with Vodafone, Lebara offered a smooth, flexible and competitively-priced alternative. I have signed up for the rolling unlimited data plan to be used in a Huawei hotspot dongle, and have been extremely satisfied by the service. The data speeds have also been more than sufficient for home usage (they use Vodafone's network which is strong in my area), though it's worth noting that the speed seems to be capped at around 190 Mbps (not sure if this is on Lebara or Vodafone's end) - this is not a problem for me however. I have been positively surprised in the past two months, and can only hope it stays this way!","November 11, 2024"
Krishna Shah,GB,"Nov 25, 2024",5,Very helpful and understanding,I always find the help line to be efficient and advisor Naeemuddin Shaikh was excellent professional and polite,"November 25, 2024"
Naz Khan,GB,"Nov 25, 2024",5,I was absolutely delighted to get help…,"Very good and easy to talk with the staff, kind and approachable","November 20, 2024"
Linh Nguyen,GB,"Nov 25, 2024",5,Shubhangi A was extremely professional…,"Not for the first time Lebara have cancelled the SIM on both our phones saying the contract has expired.  On Thursday the day they took the money, they messaged to say the plan had been renewed. Today we both had messages to say he plan had expired. I checked with the bank; they took payment yesterday, as usual on the agreed date. Tried to speak to them .....nearly an hour later I gave up and emailed. So. Until they sort it, we have no phones. Do they care,let's see.Update. Spoke to Lebara Sunday morning, and was told all Lebara customers received this email. He was pretty coy about any other details. So, if they knew, why didn't they email everyone and tell them. Anyway, All's well that ends well.Update (2) Ah, the elusive John Paul. He carries a heavy burden being the person who is always going to call back, to resolve any problem, and in my experience never does. I could be wrong, let's see.","November 24, 2024"
VASU NAG,GB,"Nov 24, 2024",5,Imran has given excellent support &…,Excellent customer service today from Nitin. Took me through the whole process of porting-in my old number and also letting me know the latest 12 monthly contract offers for Black Friday! :)),"November 24, 2024"
Daisy Kashyap,GB,"Nov 24, 2024",4,I love that the Internet is very good…,Arnold was very helpful earlier when I contacted Lebara. I was very grateful to him.,"November 24, 2024"
Natalie Welsh,GB,"Nov 24, 2024",5,Very helpful and quickly sorted the…,Akshay was friendly and helpful and understood what needed to be done,"November 24, 2024"
HiteshKumar,GB,"Nov 24, 2024",5,I was low in data..I asked help in…,Thank you to Mukesh who did a great job by helping me to renew my SIM contract after it had failed to renew due to my credit card being cancelled! Brilliant job thank you very much!,"November 24, 2024"
M Rahman,GB,"Nov 24, 2024",5,Forgot to top up and almost lost my promotional deal!,Neha was particularly helpful in solving my problem in linking new SIM,"November 24, 2024"
Meenu Kadiyan,GB,"Nov 24, 2024",5,Great Experience with Lebara,Aniket was absolutely brilliant on the phone. He explained the new plan I bought from Lebara. He talked me on how to set it up and it was so easy. Thank you,"November 24, 2024"
Kewal S Dhiman,GB,"Nov 24, 2024",5,Very Pleased with Lebara chat Service,"Help desk staff Akshay provide me a fast and quick feedback regarding a system error related to my plan is not valid anymore. Within a min a solid answer provide me which save a lot of the time and resolve my concern. I am glad can with Akshay’s help to get this done in a very short period, which normally may take more than 10mins for waiting and back and forth confirm.","November 24, 2024"
Aasma Riaz,GB,"Nov 24, 2024",5,I've two queries,Updated reviewLebara have contacted me and explained there was a technical issue and my issue has now been resolved successfully. Thank you.,"November 24, 2024"
Tianjiao Hang,CN,"Nov 24, 2024",5,Good experience and totally solved my…,"Dishonoured. For example when I attempted to contact customer service I was introduced to a message informing me on this companies ""Exceptional service"". 1st issue Is and many of us are aware that customer service numbers sometimes intentionally have very annoying wait music and repetitive messages to get you off the phone which isn't acceptable, treat your customers with more respect especially as they're calling up about a problem, it's so disrespectful and everyone knows, the public aren't stupid. 2nd this is the only customer service number where the wait time has gone up in my experience as it tells you every ten seconds how long you have left with ridiculous music in-between if that wasn't enough. The person I spoke with asked if he could get someone to call me back right after I had waited and literally endured that discomfort to hopefully then get my problem seen too, and I'm met with that. Now my request was so simple there are countless apps which Claim to resolve the issue I had but it just wasn't working in my case. Then when I deny that request due to the very simple task he then goes on a ln unnecessary data gathering quest even though said person had all the information they needed. He also just cut the phone off without saying goodbye, maybe it was an inconvenient time for me to call, maybe his shift was over I don't know but it remains to be seen whether my issue will be resolved. If it is I may amend this but exceptional customer service I think not. Would you call this an exceptional experience?. The deals are good hence the 3 stars but you got 2 knocked off for the reasons above. Hate dishonesty or tactics which are intentionally made to make the consumers life even more difficult which is a disgrace if you think about it especially when you're calling up about an issue in the first place more than likely. Not cool so yeah iron out these creases and maybe you'll be close to the exceptional service you claim. This is my honest experience, I am optimistic things will improve 🤞","November 24, 2024"
Vipul Choksi,GB,"Nov 24, 2024",5,International roaming,The customer service agent Ashpak is very helpful and my query is solved. I am completely satisfied with the outcome and chat with the agent. Kudoos to the team,"November 24, 2024"
Daniel Oluwasanumi Bolodeoku,NG,"Nov 24, 2024",5,Akshay was swift with response and…,"Kayzer (member of staff who helped on the phone) was absolutely first class !  He was well-spoken, knew his stuff, and supported me fully with resolving a problem with my account. Good on You Lebara, for emplying such excellent Customer Service agents, and a cool service overall !!","November 24, 2024"
Bharti,GB,"Nov 24, 2024",5,Thank you Jatin Reddy for your super…,Jitendra was absolutely helpful. He gave me an offer I couldn’t resist. He was patient and courteous. He was polite and ready to assist. A good customer service personnel.,"November 24, 2024"
Joker Lai,GB,"Nov 24, 2024",5,Quickly sorted out,Had an issue with my plan expiring even though it is on auto renewal however managed to get it resolved quickly on live chat with Nagmukesh. Good service!,"November 24, 2024"
WILLIAM FRANCIS,GB,"Nov 24, 2024",5,Great Customer service by Sagar H,Sagar H help me to swap my phone number smoothly.,"November 24, 2024"
Mo,GB,"Nov 24, 2024",5,Help with plan change.,I received excellent service from Shweta this morning in assisting me with updating personal detail which I was having problems with online. The call lasted some time but was not a problem - this is the way customer service should operate but is sadly lacking with many companies. Le Bara deserve the business.,"November 24, 2024"
Vish,GB,"Nov 24, 2024",5,Quick resolution,"Great service from Shan. Understood quickly a problem with double charging of my plan and deleted the false charge, arranging a refund.  Very reassuring.","November 24, 2024"
Clive,GB,"Nov 24, 2024",5,Sarfaraz sorted out the problem very…,"I had a more than great experience with my advisor Arnold who managed to change my plan,Initially when l bought a £50 credit l was thinking that l will get Internet too, but l received just the credit.So Arnold is a more than great help, thank you so much Sanda.","November 24, 2024"
Girish Parmar,GB,"Nov 24, 2024",5,Very supportive and cooperative,We informed our issue of out going calls and the agent resolved quickly. Much appreciated,"November 24, 2024"
Muskan Rathi,GB,"Nov 24, 2024",5,Rajshree was very kind and patient with…,I have now left labara because when I went to the eu earlier this year. And as soon as we got off the ferry at calais I lost all data and couldn't make any calls nothing. So was going to germany and intending to use Google maps but couldn't as no data or anything so had to stop at first garage and buy a cheap sat nav. Never use,"November 24, 2024"
mini jain,GB,"Nov 24, 2024",5,Really appreciate all the help from Sanjeev U,Preeti was great and very helpful,"November 24, 2024"
Abhishek Chatterjee,GB,"Nov 24, 2024",5,Asish is a nice and helpful guy,Patnaik was really good in serving us. We had a great experience.,"November 24, 2024"
Kevin Gerard O'Donnell,GR,"Nov 24, 2024",4,I would obviously prefer face to face…,"Ashpak from chat. He is reliable and fast in response. I sent an enquiry about not receiving my simcard, and he went through my orderID and arrange a new sim for me straight away, thank you Ashpak and the Chat team.","November 24, 2024"
Manvitha,GB,"Nov 24, 2024",5,@ Jatin Reddy,Supporter Aman did a great job at solving a problem with a mistaken SIM card purchase.,"November 24, 2024"
Andy,GB,"Nov 24, 2024",5,Good customer service,They don’t increase the fee every year like other companies do. Customer service is really helpful. Janhavi I talked to today was really kind and helpful in all way. Highly recommend!,"November 24, 2024"
Nirbha Singh,GB,"Nov 24, 2024",5,He explained all deals clearly.,Aditya was really helpful and fixed a strange problem with my SIM and ID not being connected. Thanks Aditya your the best,"November 24, 2024"
Ammar Arekat,GB,"Nov 24, 2024",5,A1 service very polite and efficient,"I face login problems..but, Mr. Anurag Tripathi helps me a lot in overcoming those problems and cooperate with me, even i m busy and not know what to do..very accommodating and considerate..","November 24, 2024"
Taiwo Iamz,GB,"Nov 24, 2024",5,JATIN Reddy was amazing,Customer care is very good and response was excellent in solving the issue,"November 24, 2024"
Pel Cargo,GB,"Nov 24, 2024",5,Excellent customer service,"All the negative reviews, I’m so sorry to read, I can vouch Lebara mobile is the uk’s best mobile phone provider and has phenomenal customer service, I understand some customers are stating they have been on chat and no avail, please call them instead, it’s quick, it’s easy and they will answer the call within 30 secs to 1 minute, they are not like other mobile companies who just sit and chat with their colleagues and answer the call as and when it suits them, I can vouch for Lebara that their prices are the best in the market, Lebara has invested millions and millions on their network and continue to do so, if something ever goes wrong, lebara will try and put it right the first time…","November 24, 2024"
Sanjay,GB,"Nov 24, 2024",5,I have had chat with sagar H,"I wanted to change my Lebara mobile plan.... I was struggling to do it online, so I phoned Lebara customer service and spoke to Arnold.... He was extremely helpful and my request was sorted within 5 minutes....He even gave me a free month... Thank you Arnold for your fantastic customer service.","November 24, 2024"
Daniel Ognyanov,GB,"Nov 24, 2024",5,He made my experience well by…,Good communication,"November 24, 2024"
